WKT,SISTEMA_DE,PUNTO_DE_M,N,E,Nitrato,Distrito,Canton,Provincia,r_cont_n,c_canton,POINT_X,POINT_Y
"POINT (-83.7942789345043 9.92601726501056)",SISTEMA 1 CAPELLADES CENTRO,NACIENTE EL SALTO,"1097569","522558",3.85,Pacayas,Alvarado,Cartago,1,"306",-83.7942789345,9.92601726501
"POINT (-83.8272838461071 9.90668629822853)",SISTEMA 4 PACAYAS LOS ÁNGELES,NACIENTE LOS ANGELES (JOSÉ CASTRO,"1095429","518940",8.076364,Pacayas,Alvarado,Cartago,1,"306",-83.8272838461,9.90668629823
"POINT (-83.8273409667022 9.9195167393954)",SISTEMA 11 PACAYAS LLANO GRANDE 4,NACIENTE LOS GÓMEZ,"1096848","518933",10.3,Pacayas,Alvarado,Cartago,2,"306",-83.8273409667,9.9195167394
"POINT (-83.815664726288 9.92550527848137)",SISTEMA 1 PACAYAS CENTRO,NACIENTE MARÍA CRISTINA,"1097511","520213",13.591667,Pacayas,Alvarado,Cartago,2,"306",-83.8156647263,9.92550527848
"POINT (-83.8289431089289 9.92506926503036)",SISTEMA 8 Y 9 PACAYAS LLANO GRANDE 1 Y 2,NACIENTE SAN PABLO 1,"1097462","518757",2.696667,Pacayas,Alvarado,Cartago,1,"306",-83.8289431089,9.92506926503
"POINT (-83.8164221958249 9.90814531962546)",SISTEMA 3 PACAYAS PATALILLO BARRIO FÁTIMA,NACIENTE NORE GÓMEZ,"1095591","520131",22.43125,Pacayas,Alvarado,Cartago,2,"306",-83.8164221958,9.90814531963
"POINT (-83.8225975754205 9.92189227428468)",SISTEMA 1 PACAYAS CENTRO,NACIENTE PACAYÓN (RUBEN),"1097111","519453",3.529,Pacayas,Alvarado,Cartago,1,"306",-83.8225975754,9.92189227428
"POINT (-83.817194201694 9.93022596484195)",SISTEMA 12 LOURDES LA CAPILLA,NACIENTE MARTÍN MONTERO,"1098033","520045",14.67333333,Pacayas,Alvarado,Cartago,2,"306",-83.8171942017,9.93022596484
"POINT (-83.8939924752332 9.95604649183742)",LLANO GRANDE DE CARTAGO: SECTOR FUENTES SAN LUIS,NACIENTE SAN LUIS 3,"1100885","511623",60.8,Llano Grande,Cartago,Cartago,3,"301",-83.8939924752,9.95604649184
"POINT (-83.9064723295065 9.94540792851368)",LLANO GRANDE DE CARTAGO: SECTOR CASA VIEJA,NACIENTE CASA VIEJA,"1099708","510255",52.58,Llano Grande,Cartago,Cartago,3,"301",-83.9064723295,9.94540792851
"POINT (-83.8999436328928 9.94093031020186)",LLANO GRANDE DE CARTAGO: SECTOR RETES,NACIENTE RETES,"1099213","510971",45.41,Llano Grande,Cartago,Cartago,2,"301",-83.8999436329,9.9409303102
"POINT (-83.8999419277366 9.9465362741252)",LLANO GRANDE CARTAGO: SECT. BARRIO LOS ANGELES Y PAVAS,NACIENTE CHECHENIA,"1099833","510971",39.07,Llano Grande,Cartago,Cartago,2,"301",-83.8999419277,9.94653627413
"POINT (-83.889368206912 9.95658750548373)",TIERRA BLANCA: CIUDADELA GRACIANO Y LA TRINIDAD,"MEZCLA DE NACIENTES MIQUELA- VUELTA LEÓN 1,2 Y 3","1100945","512130",33.01,Llano Grande,Cartago,Cartago,2,"301",-83.8893682069,9.95658750548
"POINT (-83.9112340589919 9.94174726376239)",LLANO GRANDE DE CARTAGO: SECTOR EBAIS VIEJO,NACIENTE FRANCO,"1099303","509733",19.02,Llano Grande,Cartago,Cartago,2,"301",-83.911234059,9.94174726376
"POINT (-83.886878566138 9.95584523904323)",TIERRA BLANCA DE CARTAGO,NACIENTE VUELTA LEÓN 1,"1100863","512403",3.38,Llano Grande,Cartago,Cartago,1,"301",-83.8868785661,9.95584523904
"POINT (-83.8863769117406 9.9559264457167)",TIERRA BLANCA DE CARTAGO,NACIENTE VUELTA LEÓN 3,"1100872","512458",2.01,Llano Grande,Cartago,Cartago,1,"301",-83.8863769117,9.95592644572
